failures,studytime,famrel,traveltime,guardian,higher,absences,goout,Dalc,Walc,internet,paid,Fedu,Mjob,Fjob,reason,G2,G3
0,1,3,1,father,yes,2,3,1,2,yes,no,4,other,other,reputation,13,14
0,2,3,1,mother,yes,0,3,1,2,yes,no,2,at_home,services,course,14,14
0,4,5,1,father,yes,6,4,1,2,yes,no,2,services,services,home,13,13
0,2,4,2,father,yes,2,2,1,2,yes,no,4,other,health,course,12,13
0,1,3,1,mother,yes,4,4,1,4,yes,no,4,health,other,course,13,13
0,2,5,1,mother,yes,0,4,1,1,yes,no,2,other,other,home,11,11
0,1,5,1,father,yes,2,5,3,2,yes,no,4,services,services,home,9,9
0,2,5,1,mother,yes,0,2,1,1,yes,no,4,other,other,home,11,11
2,2,3,1,other,no,0,2,1,1,no,no,1,at_home,other,course,10,11
0,1,3,1,mother,yes,8,5,2,5,yes,no,4,teacher,teacher,course,14,15
0,3,3,2,mother,yes,4,3,2,2,yes,no,3,other,other,course,12,13
0,3,4,2,father,yes,0,2,2,2,yes,no,4,services,teacher,course,11,12
3,2,5,1,mother,no,10,5,1,3,yes,no,1,services,other,reputation,9,8
0,1,3,3,mother,yes,8,2,1,2,yes,no,1,other,other,course,10,11
0,1,4,3,mother,yes,6,3,1,2,yes,no,1,at_home,other,course,12,13
0,1,3,1,father,yes,2,4,1,3,yes,no,2,other,other,course,12,12
0,1,3,1,father,yes,12,1,1,4,yes,no,4,services,other,course,13,14
0,1,3,4,mother,yes,4,1,1,1,no,no,1,at_home,other,course,9,11
1,1,5,1,mother,yes,12,4,1,1,no,no,2,other,other,home,11,11
0,2,5,4,mother,yes,2,3,1,1,no,no,4,at_home,teacher,course,11,11
0,3,4,1,mother,yes,4,3,1,1,yes,no,4,services,at_home,course,14,15
0,2,5,3,mother,yes,2,5,2,4,no,no,4,at_home,other,course,9,10
0,2,5,4,mother,yes,0,3,1,1,no,no,1,at_home,other,course,13,13
0,1,3,2,mother,yes,2,4,4,5,yes,no,1,services,services,course,11,12
0,3,4,1,other,yes,10,3,5,1,yes,no,2,other,services,course,11,11
0,1,3,2,mother,yes,8,3,1,2,no,no,1,other,services,reputation,11,11
0,1,4,2,other,yes,4,2,1,1,yes,no,3,other,other,course,9,10
2,2,4,1,mother,yes,0,4,1,3,no,no,1,services,other,course,10,10
0,1,4,2,mother,yes,6,2,1,1,yes,no,4,teacher,teacher,course,14,14
1,1,5,3,mother,yes,2,5,1,1,yes,no,1,other,other,course,9,9
0,4,2,2,father,yes,6,2,1,1,yes,no,3,teacher,services,course,11,11
0,2,1,1,mother,yes,24,2,2,3,no,no,3,services,services,home,8,9
0,3,5,1,mother,yes,0,3,1,3,yes,no,4,services,services,course,13,13
0,1,2,2,father,yes,4,3,2,2,yes,no,2,services,services,reputation,11,11
0,3,4,1,mother,yes,2,2,1,1,yes,no,4,teacher,services,course,13,13
0,1,3,1,mother,yes,4,4,3,3,yes,no,1,at_home,at_home,course,11,11
0,1,5,1,mother,yes,22,5,1,2,yes,no,1,other,other,home,7,6
0,2,4,1,father,yes,0,2,1,2,yes,no,1,other,services,course,12,12
0,1,4,2,mother,no,0,2,1,1,yes,no,1,at_home,other,home,10,10
1,2,3,1,father,yes,2,2,1,1,yes,no,2,health,services,home,11,11
0,2,4,1,mother,yes,6,2,1,1,yes,no,2,at_home,other,course,12,13
0,2,2,1,father,yes,6,4,2,4,no,no,2,at_home,services,course,11,11
0,1,3,1,mother,no,16,2,2,1,yes,no,4,teacher,teacher,course,9,8
0,1,4,4,mother,yes,0,5,2,5,yes,no,1,services,other,course,11,11
2,1,2,1,mother,no,0,5,2,5,yes,no,1,other,other,course,9,0
1,1,4,1,mother,yes,6,4,3,5,no,no,1,at_home,other,course,10,10
0,3,4,2,other,yes,2,1,2,3,yes,yes,3,services,services,reputation,13,13
0,1,4,1,mother,no,6,4,1,1,yes,no,2,services,at_home,home,9,11
0,1,4,1,mother,yes,0,1,1,1,no,no,4,other,teacher,course,13,13
0,2,4,1,mother,yes,0,4,1,1,no,yes,3,at_home,services,course,8,8
3,1,2,1,mother,yes,14,2,3,3,no,no,2,other,other,reputation,8,10
3,1,5,3,mother,yes,6,5,1,5,no,no,1,at_home,other,course,10,11
0,1,4,3,mother,yes,4,2,1,2,no,no,2,at_home,other,course,10,11
1,2,4,1,father,yes,0,5,4,4,yes,no,3,other,services,course,10,1
2,1,4,2,mother,yes,0,5,3,5,yes,no,2,health,services,course,8,10
1,1,3,2,mother,no,8,2,2,2,yes,yes,1,at_home,other,course,8,9
2,2,4,2,mother,yes,4,4,1,4,yes,no,2,other,other,course,6,8
0,1,4,2,mother,yes,2,4,2,4,no,no,2,other,other,course,9,10
1,1,5,1,father,no,2,3,1,4,yes,no,3,at_home,services,course,8,8
0,2,5,4,mother,no,0,5,1,5,no,no,1,other,services,course,8,8
3,1,4,2,mother,no,10,2,1,1,no,no,2,services,services,course,7,8
0,2,4,1,father,no,0,5,2,4,yes,no,2,other,other,course,10,11
0,2,4,1,father,yes,0,3,1,1,yes,no,2,health,services,home,17,18
0,2,5,1,mother,yes,0,5,1,1,yes,no,2,other,other,home,12,13
0,2,4,1,mother,yes,0,2,1,1,yes,no,4,health,health,reputation,16,17
1,1,3,3,father,yes,4,5,2,4,yes,no,4,other,other,course,9,10
0,2,4,2,mother,yes,0,2,1,1,yes,no,0,other,other,reputation,17,18
0,2,4,1,mother,yes,0,4,1,3,yes,no,4,teacher,other,reputation,9,10
0,2,4,1,mother,yes,0,5,1,1,yes,no,3,at_home,services,home,13,13
0,2,4,2,mother,yes,0,5,1,1,yes,no,3,other,other,reputation,14,15
0,2,4,2,mother,yes,0,4,4,4,yes,no,3,teacher,other,course,11,11
0,2,3,2,mother,yes,0,4,1,4,yes,no,2,services,other,reputation,12,14
0,2,4,1,father,yes,4,4,1,4,yes,no,3,other,other,reputation,9,10
0,1,4,1,mother,yes,8,3,3,4,yes,no,2,teacher,services,other,9,11
0,2,5,1,mother,yes,4,3,1,1,yes,yes,3,other,other,course,11,13
0,2,3,1,mother,yes,4,3,2,3,yes,yes,3,teacher,other,home,10,11
0,2,4,1,mother,yes,0,3,1,2,yes,no,3,services,other,home,12,13
0,2,5,1,father,yes,0,2,2,3,no,no,4,services,services,reputation,18,17
0,2,5,1,mother,yes,32,3,2,3,yes,no,3,other,other,reputation,13,14
0,2,1,1,mother,yes,8,2,1,2,yes,no,2,other,other,reputation,15,16
0,2,4,1,mother,yes,6,4,2,3,yes,no,3,services,services,other,13,14
0,1,3,1,mother,yes,0,3,1,2,yes,no,2,services,services,other,9,11
0,2,4,1,mother,yes,0,3,1,2,yes,no,1,other,other,course,14,16
0,2,3,1,mother,yes,10,3,1,3,yes,no,3,health,other,reputation,13,14
0,2,3,1,mother,yes,6,3,1,5,no,no,2,at_home,other,home,9,10
0,2,4,1,mother,yes,6,3,1,1,yes,no,3,services,services,course,12,13
0,2,5,1,mother,yes,0,3,1,1,yes,no,1,at_home,services,course,11,12
0,2,4,2,other,yes,16,4,4,5,yes,no,2,at_home,services,other,11,12
0,1,4,1,mother,yes,0,2,3,4,yes,no,3,services,services,reputation,10,10
0,1,5,2,father,yes,0,3,1,1,yes,no,3,other,other,home,12,12
0,2,4,1,father,yes,8,2,1,1,yes,no,4,services,services,course,15,16
0,1,5,1,mother,yes,4,3,1,2,yes,no,4,services,teacher,home,13,14
0,1,3,3,father,yes,16,4,3,5,yes,no,3,teacher,other,home,11,12
1,1,4,2,mother,yes,30,4,2,3,yes,no,4,services,teacher,home,15,16
0,2,4,1,mother,yes,0,2,1,2,yes,no,4,teacher,teacher,reputation,10,11
0,2,4,1,mother,yes,2,5,1,5,yes,no,3,health,other,home,14,15
0,2,4,1,mother,yes,4,3,1,3,no,no,3,other,other,reputation,12,12
0,2,4,1,mother,yes,0,4,1,3,no,no,1,other,other,course,15,15
0,1,5,1,mother,yes,21,2,1,2,yes,no,2,other,other,reputation,13,13
0,4,5,2,mother,yes,6,5,1,1,yes,no,2,services,services,reputation,13,13
1,3,4,1,mother,yes,14,3,3,4,yes,yes,4,at_home,services,home,9,8
0,2,2,1,mother,yes,2,3,2,2,yes,no,1,services,other,course,11,12
0,2,1,1,mother,yes,4,2,1,1,yes,no,3,teacher,other,other,15,15
0,1,4,2,mother,yes,2,2,1,4,no,no,1,at_home,other,home,13,13
0,3,4,2,mother,yes,0,2,1,1,yes,no,3,teacher,other,reputation,12,12
0,4,4,1,other,yes,4,3,1,2,yes,no,3,other,other,reputation,12,12
0,2,5,1,mother,yes,15,5,4,5,yes,no,4,services,other,home,12,12
0,2,3,1,mother,yes,0,4,1,1,yes,no,2,other,other,reputation,13,13
0,2,4,1,mother,yes,10,4,2,4,yes,no,2,services,other,home,11,11
0,1,5,1,mother,yes,6,1,1,2,no,no,4,services,other,other,11,11
0,2,4,2,mother,yes,2,4,1,3,yes,no,2,other,other,reputation,16,15
0,2,3,1,mother,yes,16,5,2,4,yes,no,3,other,other,reputation,9,10
0,2,3,1,father,yes,10,4,2,4,yes,no,3,services,health,home,10,10
0,1,3,2,father,yes,4,3,1,4,no,no,3,at_home,other,home,13,13
0,3,4,1,mother,yes,0,3,1,1,yes,no,2,at_home,at_home,course,12,13
0,2,4,2,mother,yes,0,5,1,2,yes,no,1,at_home,services,reputation,10,11
0,3,4,1,mother,yes,12,4,1,1,no,no,1,at_home,other,reputation,12,12
0,2,2,1,mother,yes,0,1,1,1,yes,no,3,services,teacher,other,13,14
3,2,3,2,mother,yes,9,3,5,5,yes,yes,2,other,other,home,9,10
0,3,5,1,mother,yes,4,2,1,1,yes,no,4,teacher,services,home,16,16
0,2,5,1,mother,yes,4,3,1,1,yes,no,1,other,other,reputation,8,8
0,2,5,1,mother,yes,2,4,1,3,yes,no,2,other,other,course,18,17
0,2,5,1,father,yes,0,3,1,3,yes,no,3,services,services,reputation,11,11
0,2,4,4,mother,yes,2,2,4,5,yes,no,1,at_home,other,course,10,11
0,3,3,2,mother,yes,0,3,1,2,yes,no,1,other,other,course,15,16
0,2,3,1,father,yes,0,3,1,2,yes,no,3,health,other,reputation,12,12
0,2,4,2,father,yes,0,2,1,1,yes,no,2,other,other,course,13,13
0,2,4,1,mother,yes,0,5,1,3,yes,no,4,teacher,teacher,reputation,13,13
0,2,4,1,father,yes,0,4,2,4,yes,no,4,health,other,reputation,13,14
0,2,3,2,mother,yes,2,2,1,1,yes,no,1,other,other,home,9,9
0,3,5,2,mother,yes,0,3,1,3,yes,no,2,at_home,other,reputation,12,12
0,2,4,1,father,yes,0,2,5,5,yes,no,2,other,other,home,16,16
0,1,4,1,mother,yes,4,2,1,1,yes,no,1,other,other,home,10,10
0,2,5,1,mother,yes,0,3,1,2,yes,no,1,other,other,home,13,13
1,2,4,2,mother,yes,18,3,1,1,yes,no,4,services,other,course,10,10
1,2,5,1,mother,yes,16,1,1,1,yes,no,2,at_home,services,course,8,10
1,1,4,2,mother,no,14,1,1,1,yes,no,3,other,other,course,7,7
1,1,4,1,other,no,26,3,2,2,yes,no,2,other,at_home,course,8,8
0,1,4,1,mother,yes,6,1,1,2,yes,no,4,teacher,teacher,course,8,9
0,2,5,1,father,yes,4,2,1,1,no,no,2,other,other,course,14,15
0,3,4,1,mother,yes,10,2,1,2,yes,no,1,at_home,at_home,course,10,10
0,1,5,1,mother,no,4,5,1,2,yes,no,2,other,other,course,11,11
0,2,2,3,mother,yes,2,1,1,1,no,no,1,at_home,services,course,13,13
1,1,5,4,other,yes,14,4,1,1,yes,no,4,other,other,course,9,8
0,2,5,1,father,no,16,4,3,5,yes,no,2,other,services,reputation,7,8
1,1,3,1,mother,no,8,2,1,1,yes,no,2,other,other,home,9,10
0,3,4,2,mother,yes,4,3,1,3,yes,no,1,at_home,other,course,14,15
0,2,4,1,mother,yes,4,2,1,1,no,no,2,teacher,other,course,14,14
0,2,2,2,mother,yes,8,5,1,4,yes,no,3,health,other,course,15,15
0,2,3,2,mother,yes,0,3,2,3,yes,no,4,teacher,other,course,12,12
0,1,5,1,mother,yes,7,5,1,1,yes,no,3,teacher,other,course,14,15
0,1,5,1,mother,yes,4,2,1,2,yes,yes,4,services,services,course,15,15
0,2,5,1,mother,yes,2,1,1,4,yes,yes,4,teacher,services,course,11,12
0,3,4,2,father,yes,2,3,1,1,yes,no,1,other,other,home,14,15
0,3,4,2,mother,yes,10,2,2,3,yes,no,3,services,other,home,11,11
0,2,4,1,mother,yes,10,2,1,1,no,no,1,at_home,other,course,9,10
0,3,4,2,other,yes,10,4,1,1,yes,no,1,other,other,course,10,11
0,1,4,3,mother,yes,7,3,1,1,yes,no,1,other,other,course,16,16
0,2,4,1,father,yes,4,4,1,2,no,no,1,other,services,course,10,11
0,1,5,2,father,yes,2,2,1,1,yes,no,3,other,other,course,12,13
3,1,5,1,mother,no,12,5,5,5,yes,no,1,services,services,other,8,5
0,2,4,1,mother,yes,8,3,1,3,yes,no,3,other,services,course,9,10
0,1,4,1,mother,yes,0,2,2,4,yes,no,2,other,other,other,12,11
0,1,4,2,mother,no,8,5,2,4,yes,no,2,services,other,course,8,7
1,2,5,3,other,yes,4,3,1,3,yes,no,3,at_home,other,reputation,11,10
2,1,3,1,mother,no,4,5,2,5,yes,no,1,services,services,other,8,6
0,1,3,2,mother,yes,2,2,1,3,no,no,1,other,other,course,13,12
0,1,4,1,mother,yes,0,2,2,4,yes,no,1,other,other,course,12,13
1,1,4,2,mother,yes,0,4,1,2,yes,no,1,health,other,course,10,10
0,2,4,1,mother,yes,2,4,1,3,yes,no,1,other,other,course,12,13
0,4,4,1,mother,yes,2,3,1,1,yes,no,2,teacher,services,reputation,15,17
0,2,4,1,mother,yes,0,3,1,1,yes,no,2,services,services,home,10,11
1,2,4,3,mother,no,4,5,4,4,yes,no,1,services,other,course,10,11
0,3,4,1,mother,yes,2,4,1,3,yes,no,2,other,other,course,12,14
0,3,4,1,mother,yes,4,3,2,3,no,no,1,other,at_home,home,12,14
0,2,3,1,mother,yes,4,3,1,1,no,no,2,other,other,home,11,13
0,2,4,1,mother,yes,4,1,1,1,yes,no,3,services,at_home,reputation,13,14
0,2,5,1,mother,yes,2,4,1,2,yes,no,1,other,other,home,16,16
0,1,5,2,mother,no,0,2,1,1,no,no,2,other,services,other,10,10
0,4,3,1,father,yes,2,1,1,1,yes,no,2,services,services,course,11,12
0,2,1,2,other,no,8,3,1,2,yes,yes,1,other,other,course,12,12
0,2,3,1,father,yes,2,2,1,3,yes,no,3,services,other,home,15,15
0,2,4,1,mother,yes,2,2,1,1,yes,no,3,teacher,other,course,10,11
0,3,5,1,mother,yes,2,2,1,1,no,no,2,other,other,course,11,12
0,3,3,1,mother,yes,2,3,1,1,no,no,3,other,other,home,12,13
0,3,4,1,mother,yes,0,3,1,1,yes,no,2,at_home,services,home,12,13
0,1,4,2,father,no,8,4,2,3,yes,no,2,other,other,home,8,9
0,2,4,2,mother,yes,6,5,3,4,yes,no,4,other,other,reputation,16,16
0,2,5,1,mother,yes,0,4,3,4,yes,no,1,services,other,other,11,14
0,2,4,2,mother,yes,8,4,2,2,yes,no,4,teacher,other,reputation,11,12
0,2,5,1,father,yes,4,5,1,3,yes,no,2,health,other,reputation,12,14
0,2,4,2,mother,no,12,5,1,2,yes,no,1,other,other,reputation,9,10
0,2,4,1,other,yes,16,5,3,3,yes,no,3,other,services,home,12,12
0,4,4,1,father,yes,10,5,1,3,yes,no,3,other,services,reputation,16,16
0,2,4,2,mother,yes,2,3,1,1,no,no,1,other,other,home,13,13
0,2,3,1,mother,yes,2,2,2,2,no,no,2,at_home,at_home,home,17,18
0,2,4,1,mother,yes,8,5,1,2,yes,no,1,other,other,home,14,15
0,2,4,2,mother,yes,6,3,1,1,yes,no,4,at_home,health,reputation,16,16
0,2,4,2,mother,yes,6,4,2,3,yes,no,2,services,other,course,12,12
0,2,4,2,mother,no,15,1,1,1,yes,no,2,other,services,home,9,10
0,1,3,2,mother,yes,6,4,1,4,yes,no,4,teacher,services,home,12,12
1,2,2,1,father,yes,2,4,1,1,yes,no,4,health,health,reputation,12,13
0,3,4,3,father,yes,8,3,1,1,yes,no,2,other,services,reputation,15,15
1,2,3,1,father,no,0,3,4,3,yes,no,2,services,services,reputation,8,10
0,1,4,2,mother,yes,0,3,1,2,yes,no,3,teacher,services,course,10,10
0,1,3,2,other,no,10,4,2,4,yes,no,2,at_home,other,home,10,11
0,1,4,2,mother,yes,22,4,2,4,yes,no,1,services,other,home,11,10
0,1,4,1,mother,yes,18,4,3,4,yes,no,2,teacher,services,home,13,13
0,4,5,2,mother,yes,2,2,1,1,no,no,1,at_home,other,reputation,17,18
0,2,5,2,mother,yes,0,4,1,1,yes,no,1,other,other,home,13,13
0,2,5,1,mother,yes,12,5,1,2,yes,no,2,other,other,course,12,14
0,2,4,2,mother,yes,10,1,1,1,yes,no,1,other,other,reputation,13,14
0,2,4,1,father,yes,0,3,1,2,yes,no,1,other,other,reputation,12,12
0,3,4,1,mother,yes,0,3,1,2,yes,no,2,at_home,at_home,other,18,18
0,3,4,1,mother,yes,0,3,1,1,yes,no,1,services,teacher,reputation,13,14
0,3,4,1,mother,yes,0,4,1,3,yes,no,1,services,services,reputation,15,15
0,2,5,1,mother,yes,0,3,1,1,yes,no,4,teacher,teacher,reputation,17,17
0,2,4,1,mother,yes,2,2,1,4,yes,no,2,teacher,other,home,16,16
0,3,4,1,mother,yes,0,2,1,2,yes,no,3,health,services,reputation,18,18
0,4,3,2,mother,yes,0,2,1,1,no,no,1,services,other,reputation,19,19
0,3,5,2,mother,yes,0,2,1,1,yes,no,2,services,other,reputation,15,15
0,1,4,1,mother,yes,0,3,1,3,yes,no,3,health,other,home,15,15
0,2,2,2,other,yes,2,4,2,3,yes,no,4,health,other,reputation,13,13
0,2,4,2,other,yes,0,5,1,2,yes,no,3,other,other,home,14,14
0,4,4,1,father,yes,0,3,1,1,yes,no,3,other,other,reputation,17,17
0,1,1,1,mother,yes,0,2,2,2,yes,no,4,teacher,teacher,home,18,17
0,2,4,1,mother,yes,0,4,1,1,yes,yes,4,health,other,home,15,15
0,1,4,2,father,yes,0,1,2,2,yes,no,4,other,teacher,home,13,13
